Year,Track,Count of Incident Type
2009,Aqueduct Racetrack (NYRA),17
2009,Batavia Downs,4
2009,Belmont Park (NYRA),39
2009,Finger Lakes Gaming & Racetrack,43
2009,Monticello Raceway & Mighty M Gaming,5
2009,Saratoga Gaming & Raceway,1
2009,Saratoga Racecourse (NYRA),11
2009,Vernon Downs,1
2009,Yonkers Raceway,6
2010,Aqueduct Racetrack (NYRA),29
2010,Batavia Downs,3
2010,Belmont Park (NYRA),65
2010,Buffalo Raceway,9
2010,Finger Lakes Gaming & Racetrack,63
2010,Monticello Raceway & Mighty M Gaming,9
2010,Saratoga Gaming & Raceway,8
2010,Saratoga Racecourse (NYRA),15
2010,Tioga Downs,2
2010,Vernon Downs,1
2010,Yonkers Raceway,3
2011,Aqueduct Racetrack (NYRA),30
2011,Batavia Downs,1
2011,Belmont Park (NYRA),46
2011,Buffalo Raceway,7
2011,Finger Lakes Gaming & Racetrack,62
2011,Monticello Raceway & Mighty M Gaming,4
2011,Saratoga Gaming & Raceway,2
2011,Saratoga Racecourse (NYRA),9
2011,Tioga Downs,1
2011,Yonkers Raceway,3
2012,Aqueduct Racetrack (NYRA),34
2012,Batavia Downs,1
2012,Belmont Park (NYRA),45
2012,Buffalo Raceway,3
2012,Finger Lakes Gaming & Racetrack,44
2012,Monticello Raceway & Mighty M Gaming,2
2012,Saratoga Gaming & Raceway,2
2012,Saratoga Racecourse (NYRA),16
2012,Tioga Downs,2
2012,Vernon Downs,3
2012,Yonkers Raceway,4
2013,Aqueduct Racetrack (NYRA),23
2013,Belmont Park (NYRA),38
2013,Buffalo Raceway,2
2013,Finger Lakes Gaming & Racetrack,40
2013,Monticello Raceway & Mighty M Gaming,4
2013,Saratoga Gaming & Raceway,2
2013,Saratoga Racecourse (NYRA),10
2013,Tioga Downs,1
2013,Vernon Downs,2
2013,Yonkers Raceway,1
2014,Aqueduct Racetrack (NYRA),23
2014,Batavia Downs,1
2014,Belmont Park (NYRA),42
2014,Buffalo Raceway,3
2014,Finger Lakes Gaming & Racetrack,35
2014,Monticello Raceway & Mighty M Gaming,4
2014,Saratoga Racecourse (NYRA),14
2014,Tioga Downs,1
2014,Vernon Downs,1
2014,Yonkers Raceway,3
2015,Aqueduct Racetrack (NYRA),21
2015,Batavia Downs,4
2015,Belmont Park (NYRA),25
2015,Buffalo Raceway,1
2015,Finger Lakes Gaming & Racetrack,24
2015,Monticello Raceway & Mighty M Gaming,3
2015,Saratoga Gaming & Raceway,5
2015,Saratoga Racecourse (NYRA),13
2015,Tioga Downs,2
2015,Vernon Downs,1
2015,Yonkers Raceway,3
2016,Aqueduct Racetrack (NYRA),11
2016,Batavia Downs,2
2016,Belmont Park (NYRA),40
2016,Buffalo Raceway,4
2016,Finger Lakes Gaming & Racetrack,28
2016,Saratoga Gaming & Raceway,5
2016,Saratoga Racecourse (NYRA),16
2016,Tioga Downs,1
2016,Vernon Downs,1
2016,Yonkers Raceway,9
2017,Aqueduct Racetrack (NYRA),17
2017,Batavia Downs,2
2017,Belmont Park (NYRA),41
2017,Buffalo Raceway,3
2017,Finger Lakes Gaming & Racetrack,27
2017,Monticello Raceway & Mighty M Gaming,3
2017,Saratoga Gaming & Raceway,6
2017,Saratoga Racecourse (NYRA),21
2017,Tioga Downs,1
2017,Yonkers Raceway,1
2018,Aqueduct Racetrack (NYRA),15
2018,Batavia Downs,1
2018,Belmont Park (NYRA),29
2018,Buffalo Raceway,2
2018,Finger Lakes Gaming & Racetrack,23
2018,Monticello Raceway & Mighty M Gaming,6
2018,Saratoga Gaming & Raceway,2
2018,Saratoga Racecourse (NYRA),14
2018,Tioga Downs,2
2018,Yonkers Raceway,4
2019,Aqueduct Racetrack (NYRA),4
2019,Belmont Park (NYRA),33
2019,Buffalo Raceway,2
2019,Finger Lakes Gaming & Racetrack,17
2019,Monticello Raceway & Mighty M Gaming,8
2019,Saratoga Gaming & Raceway,2
2019,Saratoga Racecourse (NYRA),16
2019,Tioga Downs,1
2019,Yonkers Raceway,1
