Task name, Duration,Duration in hours, Duration in percentage
"09 Tack up","03:25:19","3.4218891","20.00%"
"08 Hoof oil ","02:15:34","2.2594593","13.21%"
"05 Mane Tail","01:52:49","1.8801784","10.99%"
"00 Bring Tack down","01:52:23","1.8731708","10.95%"
"02 Curry/shed blade","01:50:32","1.8421750","10.77%"
"06 Pick hoofs","01:49:24","1.8234144","10.66%"
"03 Hard brush","01:24:23","1.4062700","8.22%"
"04 Soft brush ","01:02:10","1.0361413","6.06%"
"10 Horse to Ring","00:52:47","0.8795840","5.14%"
"01 Horse in","00:41:00","0.6832976","3.99%"
